region_id,gx,gy,sw_lat,sw_lng,ne_lat,ne_lng
307,158,30,40.706828786277924,-73.81066577134843,40.72479757693006,-73.78694151745593
308,159,30,40.70678742572028,-73.78699908087312,40.72475133807275,-73.76326846223023
309,160,30,40.70674119924479,-73.76333242149391,40.72470023200426,-73.73959544158366
310,161,30,40.706690106861465,-73.73966579666583,40.72464425873573,-73.71592245897406
322,149,31,40.724992267204385,-74.02367321083318,40.74300486075584,-74.0
323,150,31,40.724994700836376,-74.0,40.74300242647205,-73.97632038973626
324,151,31,40.724992267204385,-73.97632678916683,40.74299512362124,-73.95264078293329
325,152,31,40.72498496630892,-73.95265358179162,40.74298295220494,-73.92896118305187
326,153,31,40.72497279815158,-73.92898038133234,40.742965912225834,-73.90528159355273
327,154,31,40.724955762735014,-73.90530719124696,40.74294400368762,-73.88160201789665
328,155,31,40.724933860062905,-73.8816340149934,40.742917226595026,-73.85792245954438
329,156,31,40.724907090140015,-73.85796085602959,40.74288558095392,-73.83424292195662
330,157,31,40.72487545297215,-73.8342877178135,40.74284906677112,-73.81056340859406
331,158,31,40.7248389485662,-73.81061460380299,40.74280768405458,-73.78688392291744
332,159,31,40.72479757693006,-73.78694151745593,40.74276143281328,-73.76320446838739
333,160,31,40.72475133807275,-73.76326846223023,40.74271031305729,-73.73952504846454
334,161,31,40.72470023200426,-73.73959544158366,40.74265432479768,-73.7158456666095
335,162,31,40.72464425873573,-73.71592245897406,40.742593468046614,-73.69216632628283
346,149,32,40.74300242647205,-74.02367961026374,40.76101497482438,-74.0
347,150,32,40.74300486075584,-74.0,40.761012539888675,-73.97631398684493
348,151,32,40.74300242647205,-73.97632038973626,40.761005235082145,-73.95262797715343
349,152,32,40.74299512362124,-73.95264078293329,40.76099306040634,-73.92894197438908
350,153,32,40.74298295220494,-73.92896118305187,40.76097601586391,-73.90525598201546
351,154,32,40.742965912225834,-73.90528159355273,40.76095410145856,-73.88157000349612
352,155,32,40.74294400368762,-73.88160201789665,40.76092731719503,-73.85788404229463
353,156,32,40.742917226595026,-73.85792245954438,40.760895663079204,-73.83419810187449
354,157,32,40.74288558095392,-73.83424292195662,40.76085913911789,-73.81051218569924
355,158,32,40.74284906677112,-73.81056340859406,40.76081774531904,-73.78682629723237
356,159,32,40.74280768405458,-73.78688392291744,40.76077148169164,-73.76314043993733
357,160,32,40.74276143281328,-73.76320446838739,40.76072034824575,-73.73945461727759
358,161,32,40.74271031305729,-73.73952504846454,40.76066434499248,-73.71576883271655
359,162,32,40.74265432479768,-73.7158456666095,40.76060347194399,-73.69208308971757
370,149,33,40.761012539888675,-74.02368601315507,40.77902504126673,-74.0
371,150,33,40.76101497482438,-74.0,40.77902260567902,-73.97630758049
372,151,33,40.761012539888675,-73.97631398684493,40.77901529891643,-73.9526151644464
373,152,33,40.761005235082145,-73.95262797715343,40.77900312098053,-73.92892275533558
374,153,33,40.76099306040634,-73.92894197438908,40.778986071874,-73.9052303566239
375,154,33,40.76097601586391,-73.90525598201546,40.77896415160051,-73.88153797177775
376,155,33,40.76095410145856,-73.88157000349612,40.77893736016486,-73.8578456042635
377,156,33,40.76092731719503,-73.85788404229463,40.77890569757281,-73.83415325754748
378,157,33,40.760895663079204,-73.83419810187449,40.778869163831274,-73.81046093509603
379,158,33,40.76085913911789,-73.81051218569924,40.778827758948196,-73.78676864037543
380,159,33,40.76081774531904,-73.78682629723237,40.778781482932565,-73.76307637685198
381,160,33,40.76077148169164,-73.76314043993733,40.778730335794435,-73.73938414799194
382,161,33,40.76072034824575,-73.73945461727759,40.778674317544905,-73.71569195726151
383,162,33,40.76066434499248,-73.71576883271655,40.77861342819616,-73.69199980812688
395,150,34,40.77902504126673,-74.0,40.79703262206747,-73.9763011706687
396,151,34,40.77902260567902,-73.97630758049,40.79702531334849,-73.95260234480659
397,152,34,40.77901529891643,-73.9526151644464,40.797013132151974,-73.9289035258829
398,153,34,40.77900312098053,-73.92892275533558,40.79699607848053,-73.9052047173668
